lat;lon;name;date;heure;temperature;point_de_rose;humidite;pression_station;variation_pression_24h;temperature_min_sol_12h;precipitations_dernieres_24h
45.721.333;4.949.167;LYON-BRON;01/01/2026;00:00:00Z;267.85;266.85;93;99850;-110;270.65;0.0
457.265;5.077.833;LYON-ST EXUPERY;01/01/2026;00:00:00Z;268.85;267.15;88;99370;-100;NULL;0.0
459.765;5.329.333;AMBERIEU;01/01/2026;00:00:00Z;266.45;265.35;92;99230;-90;271.75;0.0
45.364;5.313.333;GRENOBLE-ST GEOIRS;01/01/2026;00:00:00Z;265.55;264.85;95;97560;-60;NULL;0.0
45.928.167;6.094;MEYTHET;01/01/2026;00:00:00Z;267.35;266.15;91;96740;-50;NULL;0.0
45.641.333;5.878;CHAMBERY-AIX;01/01/2026;00:00:00Z;268.05;267.25;94;99470;-10;266.85;0.0
45.612.667;6.763.333;BOURG ST MAURICE;01/01/2026;00:00:00Z;266.15;265.05;92;91850;-50;NULL;0.0
44.534.667;-1.132;CAZAUX;01/01/2026;00:00:00Z;270.55;270.45;99;101790;-330;268.45;0.2
44.431.667;-12.475;BISCARROSSE;01/01/2026;00:00:00Z;271.75;271.45;98;101570;-330;270.45;0.4
44.830.667;-0.691333;BORDEAUX-MERIGNAC;01/01/2026;00:00:00Z;270.45;270.15;98;101530;-310;269.05;0.2
44.172.167;0.594667;AGEN-LA GARENNE;01/01/2026;00:00:00Z;270.25;270.15;99;101290;-230;273.15;0.0
44.822.833;0.524167;BERGERAC;01/01/2026;00:00:00Z;272.15;271.55;96;101510;-240;274.35;0.0
44.745;1.396.667;GOURDON;01/01/2026;00:00:00Z;267.95;267.45;96;98950;-180;270.15;0.0
44.028;1.376.667;MONTAUBAN;01/01/2026;00:00:00Z;271.75;271.45;98;100860;-130;269.15;0.0
448.915;2.419.167;AURILLAC;01/01/2026;00:00:00Z;268.65;262.85;64;94460;-120;273.05;0.0
44.410.333;24.825;RODEZ-AVEYRON;01/01/2026;00:00:00Z;267.45;266.35;92;95090;-110;NULL;0.0
44.533.667;34.545;MENDE;01/01/2026;00:00:00Z;268.05;260.85;57;91050;20;266.35;0.0
441.185;30.195;MILLAU;01/01/2026;00:00:00Z;269.95;265.05;69;93470;-50;267.95;0.0
44.121.333;35.815;MONT AIGOUAL;01/01/2026;00:00:00Z;272.15;254.05;24;84080;140;NULL;0.0
43.911.333;49.025;AVIGNON;01/01/2026;00:00:00Z;272.45;268.75;76;101630;240;NULL;0.0
44.537.167;4.368.167;LANAS SYN;01/01/2026;00:00:00Z;270.65;264.75;64;98890;140;272.35;0.0
44.581.167;4.733;MONTELIMAR;01/01/2026;00:00:00Z;272.75;268.65;74;101350;180;273.05;0.0
441.445;4.861;ORANGE;01/01/2026;00:00:00Z;274.05;268.85;68;101420;200;NULL;0.0
44.083.667;5.058.333;CARPENTRAS;01/01/2026;00:00:00Z;271.95;270.95;93;100830;240;NULL;0.0
44.062.167;5.989.667;ST AUBAN;01/01/2026;00:00:00Z;272.25;269.35;81;96530;410;270.65;0.0
44.571.167;6.508.667;EMBRUN;01/01/2026;00:00:00Z;269.45;264.95;71;91720;260;NULL;0.0
44.880.333;6.640.333;VILLAR ST PANCRACE;01/01/2026;00:00:00Z;266.25;261.85;71;86850;260;NULL;0.0
433.945;-16.865;SOCOA;01/01/2026;00:00:00Z;274.75;273.75;93;101490;-300;NULL;0.0
43.469.333;-1.534.333;BIARRITZ-PAYS-BASQUE;01/01/2026;00:00:00Z;273.65;272.95;95;101140;-290;276.25;0.0
43.689.833;-1.07;DAX;01/01/2026;00:00:00Z;274.05;273.95;99;101680;-240;273.05;0.0
43.909.833;-0.500167;MONT-DE-MARSAN;01/01/2026;00:00:00Z;272.85;272.85;100;101400;-230;277.05;0.0
43.385;-0.416333;PAU-UZEIN;01/01/2026;00:00:00Z;275.95;274.75;92;99790;-230;275.45;-0.1
43.188;0.0;TARBES-LOURDES-PYRENEES;01/01/2026;00:00:00Z;273.95;273.95;100;97620;-210;272.95;0.2
43.689;0.601167;AUCH;01/01/2026;00:00:00Z;274.15;273.25;94;100550;-200;273.85;0.0
43.005.333;1.106.833;ST GIRONS;01/01/2026;00:00:00Z;274.45;272.35;86;97020;-210;279.45;0.0
43.621;1.378.833;TOULOUSE-BLAGNAC;01/01/2026;00:00:00Z;272.15;271.45;95;100310;-170;273.85;0.0
43.914.667;2.116.333;ALBI;01/01/2026;00:00:00Z;270.45;270.05;97;100070;-110;273.25;0.0
43.215.333;22.955;CARCASSONNE;01/01/2026;00:00:00Z;271.15;270.45;95;100600;-20;272.85;0.0
43.322;3.352.667;BEZIERS-VIAS;01/01/2026;00:00:00Z;269.85;268.75;92;101950;200;NULL;0.0
43.397.333;3.692.167;SETE;01/01/2026;00:00:00Z;275.75;269.45;63;101140;180;NULL;0.0
43.856.833;4.406.333;NIMES-COURBESSAC;01/01/2026;00:00:00Z;274.15;267.05;59;101290;180;273.85;0.0
43.772.833;4.412.833;NIMES-GARONS;01/01/2026;00:00:00Z;273.25;267.65;66;100760;210;NULL;0.0
43.522.667;49.275;ISTRES;01/01/2026;00:00:00Z;271.15;269.45;88;101720;290;NULL;0.0
43.612.833;5.108;SALON DE PROVENCE;01/01/2026;00:00:00Z;272.55;270.95;89;101270;270;NULL;0.0
43.437.667;5.216;MARIGNANE;01/01/2026;00:00:00Z;274.85;273.05;88;101620;300;274.65;0.0
42.917.333;3.059.667;LEUCATE;01/01/2026;00:00:00Z;274.85;273.25;89;101560;280;NULL;0.0
43.094.333;6.146.333;HYERES;01/01/2026;00:00:00Z;279.65;276.65;81;101920;520;278.75;0.0
43.383.167;6.386.167;LE LUC;01/01/2026;00:00:00Z;272.95;272.35;96;101010;470;NULL;0.0
430.325;6.469.333;ILE DU LEVANT;01/01/2026;00:00:00Z;281.65;278.05;78;100350;550;NULL;0.0
435.565;69.505;CANNES;01/01/2026;00:00:00Z;276.35;274.55;88;101930;460;NULL;0.0
43.648.833;7.209;NICE;01/01/2026;00:00:00Z;278.75;273.55;69;101650;460;277.35;0.0
42.737.167;2.872.833;PERPIGNAN;01/01/2026;00:00:00Z;272.35;271.35;93;101550;260;277.05;0.0
42.516.667;3.135;CAP BEAR;01/01/2026;00:00:00Z;277.95;275.65;85;101010;280;NULL;0.0
42.633.167;8.922.667;ILE ROUSSE;01/01/2026;00:00:00Z;283.15;278.15;71;100060;330;NULL;0.0
425.295;87.915;CALVI;01/01/2026;00:00:00Z;278.45;275.95;84;101120;350;NULL;0.0
41.918;8.792.667;AJACCIO;01/01/2026;00:00:00Z;278.55;276.75;88;101800;370;277.35;0.0
41.921.833;9.400.833;SOLENZARA;01/01/2026;00:00:00Z;279.55;276.15;79;101740;510;281.75;1.4
